election_year,state_name,constituency_name,constituency_type,party_name,short_form,candidate_name,EVM_votes,postal_votes,total_votes,rank,notes
2024,West Bengal,Dum dum,General,Bharatiya Janata Party,BJP,SILBHADRA DATTA,456138,1781,457919,2,
2024,West Bengal,Dum dum,General,Communist Party of India (Marxist),CPI-M,SUJAN CHAKRABORTY,239418,1366,240784,3,
2024,West Bengal,Dum dum,General,Independent,Ind,SHEKH IMANUR RAHMAN,6410,1,6411,5,
2024,West Bengal,Dum dum,General,Bahujan Samaj Party,BSP,SWAMINATH KORI,3749,17,3766,6,
2024,West Bengal,Dum dum,General,Independent,Ind,HIRAK SINHA,3144,3,3147,7,
2024,West Bengal,Dum dum,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,BANAMALI PANDA,1728,11,1739,8,
2024,West Bengal,Dum dum,General,Independent,Ind,DULU DEY,1688,6,1694,9,
2024,West Bengal,Dum dum,General,Bharatiya Nyay-Adhikar Raksha Party,Other-106,MANIKA MUKHERJEE,1231,6,1237,10,
2024,West Bengal,Dum dum,General,Democratic Socialist Party of India,Other-627,SANTANU MANDAL,880,5,885,11,
2024,West Bengal,Dum dum,General,Independent,Ind,TRIDIB BHUNIA,765,7,772,12,
2024,West Bengal,Dum dum,General,Independent,Ind,GOURI BISWAS,698,3,701,13,
2024,West Bengal,Dum dum,General,Mera Bharat Mahan Party,Other-679,SUBRATA BHOWMIK,602,2,604,14,
2024,Maharashtra,Mumbai North West,General,Right to Recall Party,Other-84,MANOJ SHRAVAN NAYAK,1132,17,1149,13,
2024,West Bengal,Dum dum,General,None of the Above,NOTA,NOTA,11256,78,11334,4,
2024,West Bengal,Barasat,General,All India Trinamool Congress,AITC,KAKOLI GHOSH DASTIDAR,689513,2497,692010,1,
2024,West Bengal,Barasat,General,Bharatiya Janata Party,BJP,SWAPAN MAJUMDER,576024,1797,577821,2,
2024,West Bengal,Barasat,General,All India Secular Front,Other-24,TAPAS BANERJEE,121355,85,121440,3,
2024,West Bengal,Barasat,General,All India Forward Bloc,Other-47,SANJIB CHATTERJEE,99456,544,100000,4,
2024,West Bengal,Barasat,General,Bahujan Samaj Party,BSP,SMRITIKANA HAOLADAR,5759,28,5787,6,
2024,West Bengal,Barasat,General,Independent,Ind,SAIFUDDIN MONDAL,3823,4,3827,7,
2024,West Bengal,Barasat,General,Independent,Ind,SWAPAN MAJUMDAR,3083,2,3085,8,
2024,West Bengal,Barasat,General,Independent,Ind,S MUKHTAR AHMED,2639,8,2647,9,
2024,West Bengal,Barasat,General,Bharatiya Nyay-Adhikar Raksha Party,Other-106,SEFALI DEY,2244,8,2252,10,
2024,West Bengal,Barasat,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,SADHAN GHOSH,2025,22,2047,11,
2024,Maharashtra,Mumbai South central,General,Right to Recall Party,Other-84,ADV. MAHENDRA TULSHIRAM BHINGARDIVE,1414,30,1444,10,
2024,West Bengal,Barasat,General,Independent,Ind,MOHAN LAL ADHIKARY,1850,14,1864,13,
2024,West Bengal,Barasat,General,None of the Above,NOTA,NOTA,17834,58,17892,5,
2024,West Bengal,Basirhat,General,All India Trinamool Congress,AITC,SK NURUL ISLAM,801542,2220,803762,1,
2024,West Bengal,Basirhat,General,Bharatiya Janata Party,BJP,REKHA PATRA,468593,1622,470215,2,
2024,West Bengal,Basirhat,General,All India Secular Front,Other-24,AKHTAR RAHAMAN BISWAS,123432,68,123500,3,
2024,West Bengal,Basirhat,General,Communist Party of India (Marxist),CPI-M,NIRAPADA SARDAR,77611,288,77899,4,
2024,West Bengal,Basirhat,General,Independent,Ind,MAFIJUL MOLLA,11833,-,11833,5,
2024,West Bengal,Basirhat,General,Independent,Ind,PRIYAMA DAS,6606,14,6620,6,
2024,West Bengal,Basirhat,General,Independent,Ind,MIRAZ MOLLA,5902,-,5902,7,
2024,West Bengal,Basirhat,General,Bahujan Samaj Party,BSP,MD ABUL KALAM MOLLA,4451,13,4464,9,
2024,West Bengal,Basirhat,General,Independent,Ind,BIDYUT GAYEN,3625,9,3634,10,
2024,West Bengal,Basirhat,General,Bharatheeya Jawan Kisan Party,Other-71,IMRAN ALI SARDAR,2548,5,2553,11,
2024,West Bengal,Basirhat,General,Independent,Ind,PIYARUL ISLAM,2388,3,2391,12,
2024,West Bengal,Basirhat,General,Independent,Ind,SARAVAN SINGH,2020,1,2021,13,
2024,West Bengal,Basirhat,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,DAUD ALI GAZI,1163,4,1167,14,
2024,West Bengal,Basirhat,General,Independent,Ind,KINKAR KANTI ROY,1115,3,1118,15,
2024,Maharashtra,Pune,General,Right to Recall Party,Other-84,YUVRAJ CHANDRAKANT LIMBOLE,698,-,698,11,
2024,West Bengal,Basirhat,General,None of the Above,NOTA,NOTA,5229,19,5248,8,
2024,West Bengal,Joynagar,Scheduled Caste,All India Trinamool Congress,AITC,PRATIMA MONDAL,891053,3259,894312,1,
2024,West Bengal,Joynagar,Scheduled Caste,Bharatiya Janata Party,BJP,ASHOK KANDARY,422546,1547,424093,2,
2024,West Bengal,Joynagar,Scheduled Caste,All India Secular Front,Other-24,MEGHNATH HALDER,65316,56,65372,3,
2024,West Bengal,Joynagar,Scheduled Caste,Revolutionary Socialist Party,Other-27,SAMARENDRA NATH MONDAL,39927,186,40113,4,
2024,West Bengal,Joynagar,Scheduled Caste,Socialist Unity Centre Of India (COMMUNIST),Other-35,NIRANJAN NASKAR,14547,75,14622,5,
2024,West Bengal,Joynagar,Scheduled Caste,Independent,Ind,SUJAN SARDAR,10779,15,10794,6,
2024,West Bengal,Joynagar,Scheduled Caste,Independent,Ind,SINDHUPADA BAIRAGI,9150,12,9162,8,
